internal idx,feature idx,unit idx top,unit idx bottom,image idx top,image idx bottom,col idx top,row idx top,col idx bottom,row idx bottom,number of outliers,ranksum,median,mean,ttest,mestimation,NUM,ROW,COL,FeatSize,NumCirc,NumTri,NumLine,CircDiam,TriSize,LineLen,RotSD,FCP,CCDunsc,WN0.1,WN0.2,WN0.3,WN0.4,WN0.5,WN0.7,WN1,WN1.5,WN2,WN3,WN4,FCPLOG,DC,DT,DL,TriArea,CircArea,LineArea,TA,CA,LA,ROT,CCD,FCPN01,FCPN03,FCPLOGN0.1,FCPLOGN0.3,Split
1,1087,1,2212,4355,2145,1,1,34,34,6,-0.208582,3859.6,4134,-0.793962,4309.05,1087,32,32,10,0,0,3,3.03803,3.01629,7.83437,103.011,0.4043,2,0.269403,0.045671,0.026782,0.018502,0.016428,0.007493,0.007514,0.005656,0.004564,0.003274,0.003015,-0.38758,0,0,0.03,7.00018,7.24892,23.5031,0,0,0.705093,2.06022,0.141421,0.289058,0.99,-0.899961,4.59512,1
2,1054,67,2278,4224,2078,1,2,34,35,9,0.94346,4311,4412.49,0.441602,4331.64,1054,31,32,28,0,2,5,5.55618,9.51009,15.3318,95.9505,0.278074,2,0.052552,0.026823,0.014411,0.011194,0.013466,0.005899,0.004202,0.003653,0.002847,0.002193,0.002141,-0.954035,0,0.00255102,0.00637755,69.5878,24.2461,45.9953,0.17752,0,0.293337,0.734315,0.0505076,0.49197,0.361285,-0.0321217,-0.569792,1
3,1021,133,2344,4223,2013,1,3,34,36,10,2.59077,4824.94,4840.8,2.62998,4451.5,1021,30,32,28,4,0,8,7.3469,8.0894,18.8216,104.345,0.489209,6,0.024535,0.013824,0.009185,0.007866,0.012031,0.005244,0.00373,0.003062,0.002454,0.001873,0.001821,-0.0431699,0.00510204,0,0.0102041,50.3497,42.3933,56.4647,0,0.216293,0.57617,0.93165,0.151523,0.513778,0.01,0.0551248,-4.59512,1
4,988,199,2410,4092,1946,1,4,34,37,12,-1.38269,3712.75,3832.96,-2.08497,3983.76,988,29,32,20,0,7,0,6.58588,4.38632,9.23296,63.1692,0.2447,10,0.032473,0.068687,0.037918,0.032928,0.022129,0.020431,0.012201,0.008781,0.006711,0.005296,0.005342,-1.12708,0,0.0175,0,14.8035,34.0657,27.6989,0.259062,0,0,0.947538,0.353553,0.217145,0.67511,-1.28238,0.73139,1
5,955,265,2476,4091,1881,1,5,34,38,12,-1.38641,3577.03,3922.74,-1.22197,4024.04,955,28,32,28,2,4,0,5.76951,3.66337,22.4671,90.0978,0.118125,4,0.054867,0.042619,0.050625,0.015854,0.027358,0.014811,0.009112,0.007076,0.005564,0.004406,0.004408,-2.01031,0.00255102,0.00510204,0,10.3259,26.1437,67.4012,0.052683,0.0666932,0,0.344762,0.101015,0.120361,0.01,-1.98901,-4.59512,1
6,922,331,2542,3960,1814,1,6,34,39,6,0.0788604,4439.29,4157.31,-0.492406,3991.84,922,27,32,20,12,0,0,4.48551,6.22953,13.5364,28.5825,0.353875,6,0.129425,0.057267,0.021146,0.021291,0.008388,0.008773,0.006638,0.004264,0.003777,0.002972,0.002993,-0.602049,0.03,0,0,29.859,15.8021,40.6092,0,0.474062,0,0,0.212132,0.309768,0.329053,-0.801204,-0.712473,1
7,889,397,2608,3959,1749,1,7,34,40,11,-0.197099,3961.76,4370.13,0.198598,3999.07,889,26,32,10,0,4,0,3.81944,3.6401,3.0975,20.4361,0.3431,4,0.19257,0.115136,0.034769,0.036436,0.021283,0.01874,0.012041,0.007759,0.006433,0.005457,0.005769,-0.64951,0,0.04,0,10.1951,11.4575,9.29251,0.407804,0,0,0.613082,0.282843,0.347339,0.21428,-0.630757,-1.29932,1
8,856,463,2674,3828,1682,1,8,34,41,11,0.534513,4506.25,4293.56,-0.00266475,3866.24,856,25,32,20,0,0,12,6.75406,6.50889,3.6965,15.1975,0.2904,6,0.043311,0.067914,0.019587,0.024567,0.026846,0.016243,0.00943,0.006908,0.005811,0.004869,0.004686,-0.893442,0,0,0.03,32.597,35.8278,11.0895,0,0,0.332685,0.41793,0.212132,0.393782,0.622206,-0.431443,0.498923,1
9,823,529,2740,3827,1617,1,9,34,42,12,0.708646,4437.49,4618.08,0.873343,4430.66,823,24,32,20,0,6,0,6.48752,7.92547,13.0423,9.29704,0.37965,2,0.024933,0.0213,0.007757,0.008946,0.008127,0.006121,0.004671,0.003245,0.002533,0.001811,0.002155,-0.491034,0,0.015,0,48.3297,33.0557,39.1268,0.724945,0,0,0.116213,0.0707107,0.217763,0.401064,-1.27875,-0.401033,1
10,790,595,2806,3696,1550,1,10,34,43,9,1.08871,4852.65,4648.94,1.06028,4222.34,790,23,32,20,1,0,2,8.47179,6.33655,14.7194,121.304,0.26825,2,0.074429,0.02871,0.010665,0.011693,0.009517,0.006967,0.004922,0.00345,0.002602,0.002014,0.00212,-1.00352,0.0025,0,0.005,30.8937,56.3689,44.1581,0,0.140922,0.22079,0.303259,0.0707107,0.47866,0.225011,-0.0854109,-1.2367,1
11,757,661,2872,3695,1485,1,11,34,44,11,0.641047,4416.05,4341.94,0.19226,4109.28,757,22,32,10,0,3,1,3.72028,3.23237,6.98278,178.222,0.3869,4,0.193121,0.042456,0.039012,0.025256,0.025748,0.018951,0.009851,0.007983,0.006942,0.004647,0.005583,-0.460362,0,0.03,0.01,8.03909,10.8703,20.9483,0.241173,0,0.209483,5.34666,0.282843,0.428339,0.446807,-0.288633,-0.213581,1
12,724,727,2938,3564,1418,1,12,34,45,4,0.374994,4266.85,4305.33,0.0475945,4131.88,724,21,32,20,4,2,0,5.93044,5.36713,11.7437,108.018,0.289825,4,0.005444,0.029788,0.013488,0.010539,0.009965,0.007554,0.00542,0.003751,0.003163,0.002533,0.002666,-0.896234,0.01,0.005,0,22.164,27.6225,35.2311,0.11082,0.276225,0,0.270045,0.141421,0.36775,0.149924,-0.54188,-1.7352,1
13,691,793,3004,3563,1353,1,13,34,46,7,-0.519751,3919,4161.02,-0.486829,4098.57,691,20,32,28,0,3,0,6.39427,6.66449,4.75502,37.8621,0.130816,2,0.056856,0.039358,0.032083,0.020564,0.016652,0.012616,0.008326,0.005877,0.004498,0.003413,0.00352,-1.89376,0,0.00382653,0,34.1741,32.1123,14.2651,0.130768,0,0,0.0965871,0.0505076,0.01,0.737468,-4.59512,1.03285,1
14,658,859,3070,3432,1286,1,14,34,47,8,0.414262,4242.88,4317.94,0.111058,4033.13,658,19,32,10,4,0,0,3.3279,3.17636,3.07001,118.421,0.1911,2,0.3894,0.037536,0.041132,0.028231,0.01371,0.012734,0.008297,0.005907,0.004793,0.003734,0.003839,-1.44288,0.04,0,0,7.76288,8.69824,9.21002,0,0.34793,0,0,0.141421,0.0593796,0.709795,-2.76259,0.894387,1
15,625,925,3136,3431,1221,1,15,34,48,14,0.442381,4353.39,4230.13,-0.242386,4112.71,625,18,32,28,8,1,3,5.14543,3.91847,18.174,109.635,0.354732,6,0.033983,0.04221,0.024462,0.012693,0.020961,0.008594,0.005277,0.004903,0.003826,0.003061,0.003069,-0.598303,0.0102041,0.00127551,0.00382653,11.814,20.7938,54.5221,0.0150689,0.212182,0.20863,0.419523,0.151523,0.591156,0.467245,0.368745,-0.13121,1
16,592,991,3202,3300,1154,1,16,34,49,6,0.00167629,3981.33,4364.58,0.195162,3977.57,592,17,32,20,0,4,0,7.2153,4.78161,8.10797,33.5973,0.1665,0,0.045548,0.073947,0.026693,0.029343,0.021999,0.016505,0.011016,0.007458,0.006145,0.004644,0.004417,-1.61064,0,0.01,0,17.5919,40.8883,24.3239,0.175919,0,0,0.25198,0,0.124742,0.01,-1.94827,-4.59512,1
17,559,1057,3268,3299,1089,1,17,34,50,12,0.563071,4513.42,4431.35,0.416698,4040.9,559,16,32,10,5,0,0,3.31817,3.24913,6.71545,63.1703,0.2741,2,0.296138,0.01008,0.012222,0.031116,0.013793,0.008556,0.006897,0.005828,0.004443,0.003472,0.003635,-0.973919,0.05,0,0,8.12268,8.64741,20.1464,0,0.43237,0,0,0.141421,0.252452,0.348934,-1.08558,-0.623729,1
18,527,1123,3334,3168,1022,1,18,34,51,14,0.703864,4092.55,4557.09,0.666966,4173.99,527,15,32,10,2,0,3,3.55165,3.66052,6.14193,10.0988,0.4798,4,0.237301,0.072276,0.033391,0.027052,0.023207,0.011266,0.00877,0.006313,0.005208,0.003746,0.004228,-0.080844,0.02,0,0.03,10.3098,9.90718,18.4258,0,0.198144,0.552774,0.201976,0.282843,0.35387,0.372061,-0.602071,-0.523386,1
19,494,1189,3400,3167,957,1,19,34,52,8,-1.45489,3667.46,3861.45,-2.55641,3906.73,494,14,32,28,0,0,4,4.71176,7.09346,4.2437,77.1391,0.065,2,0.068322,0.099326,0.022075,0.030291,0.027932,0.008968,0.008062,0.007841,0.006388,0.004608,0.004869,-2.66616,0,0,0.00510204,38.7151,17.4364,12.7311,0,0,0.0649545,0.295175,0.0505076,0.0738021,0.0134333,-2.5297,-4.29649,1
20,461,1255,3466,3036,890,1,20,34,53,9,-0.0017968,4187.46,4228.86,-0.252057,4097.41,461,13,32,10,4,0,0,3.82395,3.93971,5.20981,103.285,0.3364,4,0.344761,0.039587,0.009606,0.025959,0.013239,0.013618,0.008218,0.005007,0.003921,0.003204,0.003264,-0.679379,0.04,0,0,11.9424,11.4845,15.6294,0,0.459381,0,0,0.282843,0.339522,0.456201,-0.665424,-0.175646,1
21,428,1321,3532,3035,825,1,21,34,54,11,-0.971856,3876.85,3939.77,-1.30224,4025.75,428,12,32,10,3,0,0,3.94093,3.83094,5.81292,121.42,0.3513,4,0.32652,0.062055,0.00923,0.024242,0.018819,0.0172,0.010011,0.006148,0.004396,0.003692,0.003752,-0.61333,0.03,0,0,11.2921,12.198,17.4387,0,0.365939,0,0,0.282843,0.340912,0.16402,-0.659232,-1.62862,1
22,395,1387,3598,2904,758,1,22,34,55,8,-1.5048,3716.75,3850.82,-2.44415,3843.67,395,11,32,28,8,1,6,3.28104,7.53216,3.1077,27.9704,0.157003,0,0.05071,0.051628,0.029241,0.013,0.024978,0.009659,0.007066,0.006347,0.004645,0.003784,0.003663,-1.6807,0.0102041,0.00127551,0.00765306,43.6519,8.45498,9.32309,0.0556785,0.0862753,0.0713502,0.214059,0,0.0531198,0.054981,-2.88062,-2.84422,1
23,362,1453,3664,2903,693,1,23,34,56,9,0.557792,4336.43,4393.8,0.368466,4179.94,362,10,32,10,2,0,2,3.1105,3.54606,7.14786,175.682,0.3675,2,0.31852,0.040031,0.03652,0.022336,0.011433,0.007697,0.006966,0.005918,0.004735,0.003514,0.003482,-0.542957,0.02,0,0.02,9.6751,7.59891,21.4436,0,0.151978,0.428872,1.75682,0.141421,0.4823,0.408639,-0.0708292,-0.369593,1
